Company Name,,,,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
Acorns,,,,"Irvine, CA",201 to 500 employees,-1,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable
Acosta Sales & Marketing,,,,"Jacksonville, FL",10000+ employees,1927,Company - Private,Advertising & Marketing,Business Services,$5 to $10 billion (USD)
Acosta,,,,"Jacksonville, FL",10000+ employees,1927,Company - Private,Advertising & Marketing,Business Services,$5 to $10 billion (USD)
Acquis Consulting Group,,,,"New York, NY",51 to 200 employees,1998,Company - Private,Consulting,Business Services,$5 to $10 million (USD)
ACS Group,,,,"New Berlin, WI",501 to 1000 employees,-1,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD)
ACS Solutions,,,,"Duluth, GA",10000+ employees,1998,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD)
ACS,,,,"Moore, OK",1 to 50 employees,-1,Company - Private,General Repair & Maintenance,"Construction, Repair & Maintenance",$1 to $5 million (USD)
ACT Consulting,,,,"London, United Kingdom",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
ACT I,,,,-1,-1,-1,-1,-1,-1,-1
ACT I - Advanced Concepts & Technologies Int, LLC,,,-1,-1,-1,-1,-1,-1,-1
ACT I - Advanced Concepts and Technologies International LLC,,,,-1,-1,-1,-1,-1,-1,-1
ActiveCampaign,,,,"Chicago, IL",501 to 1000 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD)
ActiveSoft,,,,"Ratos, Romania",51 to 200 employees,-1,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"Activesoft, Inc",,,,"Milton, GA",201 to 500 employees,2007,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Activision Blizzard,,,,"Santa Monica, CA",10000+ employees,1979,Company - Public,Video Games,Media,$5 to $10 billion (USD)
Activision Publishing,,,,"Santa Monica, CA",1001 to 5000 employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD)
"ACTS, Inc",,,,"Fort Washington, PA",5001 to 10000 employees,1971,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD)
ACTUARY AND MEDICAL RECRUITING,,,,"Lebanon, TN",1 to 50 employees,2013,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Acuity Cloud Solutions,,,,"Keene, NH",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Acuity One,,,,-1,-1,-1,-1,-1,-1,-1
Acumen Inc,,,,"McLean, VA",501 to 1000 employees,1999,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
Acumen Solutions,,,,"McLean, VA",501 to 1000 employees,1999,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
Acumen,,,,"Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD)
Acurian,,,,"Horsham, PA",51 to 200 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
Ad Council,,,,"New York, NY",51 to 200 employees,1942,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD)
Ad,net,,,"Los Angeles, CA",1 to 50 employees,2001,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Adaptimmune Ltd,,,,"Abingdon, United Kingdom",201 to 500 employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Adaptimmune,,,,"Abingdon, United Kingdom",201 to 500 employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Adaptive Biotechnologies,,,,"Seattle, WA",201 to 500 employees,2009,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Adaptive Solutions Group,,,,"Saint Louis, MO",51 to 200 employees,2002,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
addastaff,,,,"San Mateo, CA",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Addepar,,,,"Mountain View, CA",201 to 500 employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Addison Group,,,,"Chicago, IL",501 to 1000 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Adecco,,,,"Zurich, Switzerland",10000+ employees,1996,Company - Public,-1,-1,$10+ billion (USD)
Ademco Inc,,,,"Melville, NY",501 to 1000 employees,-1,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable
Ademeni,,,,"New York, NY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
