Company Name,,,,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
Adwait Algorithm,,,,"Houston, TX",51 to 200 employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
AECOM,,,,"Los Angeles, CA",10000+ employees,1990,Company - Public,Architectural & Engineering Services,Business Services,$10+ billion (USD)
Aegis Media,,,,"London, United Kingdom",1001 to 5000 employees,1978,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$2 to $5 billion (USD)
Aegis Project Controls,,,,"Silver Spring, MD",51 to 200 employees,2006,Company - Private,Construction,"Construction, Repair & Maintenance",$10 to $25 million (USD)
AEP,,,,"Columbus, OH",10000+ employees,1906,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
Aequor Technologies Inc,,,,"Piscataway, NJ",201 to 500 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
"Aerodyne Industries, Inc",,,,"Cape Canaveral, FL",51 to 200 employees,-1,Contract,Aerospace & Defense,Aerospace & Defense,$1 to $5 million (USD)
Aerotek,,,,"Hanover, MD",5001 to 10000 employees,1983,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
AESI,,,,"Santa Clara, CA",51 to 200 employees,1993,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
AETEA Information Technology Inc,,,,"Rockville, MD",201 to 500 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Aetion,,,,"New York, NY",51 to 200 employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Aetna Life Insurance Company,,,,-1,-1,-1,-1,-1,-1,-1
Aetna,,,,"Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Aeva Specialty Pharmacy,,,,"Las Vegas, NV",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Affine Analytics,,,,"Bengaluru, India",201 to 500 employees,2011,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
AffiniPay,,,,"Austin, TX",51 to 200 employees,2005,Company - Private,Financial Transaction Processing,Finance,$10 to $25 million (USD)
affinitiv,,,,"Chicago, IL",201 to 500 employees,2016,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Affinity Development Group,,,,"San Diego, CA",201 to 500 employees,1989,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
AFFINITY HEALTH PLAN,,,,"Bronx, NY",501 to 1000 employees,1986,Nonprofit Organization,Insurance Carriers,Insurance,$1 to $2 billion (USD)
Affinity Solutions,,,,"New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Affirm,,,,"San Francisco, CA",501 to 1000 employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable
Afiniti,,,,"Washington, DC",501 to 1000 employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD)
Aflac Los Angeles,,,,-1,-1,-1,-1,-1,-1,-1
Afognak Native Corporation,,,,"Kodiak, AK",5001 to 10000 employees,-1,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$100 to $500 million (USD)
After School Matters,,,,"Chicago, IL",51 to 200 employees,1991,Nonprofit Organization,Education Training Services,Education,Unknown / Non-Applicable
Aga Fincorp,,,,"Morristown, NJ",1 to 50 employees,2003,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Agama Solutions,,,,"Fremont, CA",51 to 200 employees,-1,Contract,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
A-Gas Americas,,,,"Bristol, United Kingdom",501 to 1000 employees,1993,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD)
Age of Learning,,,,"Glendale, CA",501 to 1000 employees,2007,Company - Private,K-12 Education,Education,$100 to $500 million (USD)
Ageatia Technology Consultancy Services,,,,"Schaumburg, IL",51 to 200 employees,2002,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Agil3Tech (Agil3 Technology Solutions),,,,"Falls Church, VA",1 to 50 employees,2012,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
Agile enterprise solutions,,,,"Addison, TX",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD)
"Agile Global Solutions, Inc",,,,"Folsom, CA",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Agilisium LLC,,,,"Westlake Village, CA",201 to 500 employees,2012,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Agility 360,,,,"Carrollton, TX",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
AgreeYa Solutions,,,,"Folsom, CA",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Agriplex Genomics,,,,"Cleveland, OH",51 to 200 employees,-1,Contract,-1,-1,Unknown / Non-Applicable
AHMC Healthcare,,,,"Alhambra, CA",5001 to 10000 employees,1998,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
AIC (part of ACS Group),,,,-1,-1,-1,-1,-1,-1,-1
AIC Ventures,,,,"Austin, TX",1 to 50 employees,-1,Private Practice / Firm,Real Estate,Real Estate,$5 to $10 million (USD)
AIDS Healthcare Foundation,,,,"Los Angeles, CA",1001 to 5000 employees,1987,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
AIG,,,,"New York, NY",10000+ employees,1919,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Aimbridge Hospitality,,,,"Plano, TX",10000+ employees,2003,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable
Air Education and Training Command,,,,-1,-1,-1,-1,-1,-1,-1
Air Force Civilian Career Training,,,,"Washington, DC",Unknown,-1,Government,-1,-1,Unknown / Non-Applicable
Air Force Materiel Command,,,,"Wright Patterson AFB, OH",5001 to 10000 employees,-1,Government,Research & Development,Business Services,Unknown / Non-Applicable
Air Methods,,,,"Greenwood Village, CO",1001 to 5000 employees,1980,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Air Products,,,,"Allentown, PA",10000+ employees,1940,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD)
Air Transport Services Group,,,,"Wilmington, OH",1001 to 5000 employees,-1,Company - Public,Charter Air Travel,Travel & Tourism,$1 to $2 billion (USD)
"Airetel Staffing, Inc",,,,"Altamonte Springs, FL",1 to 50 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Airgas,,,,"Radnor, PA",10000+ employees,1982,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD)
Airtime,,,,"New York, NY",51 to 200 employees,2012,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
Aisera,,,,"Palo Alto, CA",51 to 200 employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"AIT Global, Inc",,,,"Matawan, NJ",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
AIT Resource Group,,,,"Schaumburg, IL",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Aite Group,,,,"Boston, MA",51 to 200 employees,2005,Company - Private,Research & Development,Business Services,$10 to $25 million (USD)
Ajilon,,,,"Jacksonville, FL",1001 to 5000 employees,1994,Company - Public,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Ajinomoto Bio-Pharma Services,,,,"San Diego, CA",501 to 1000 employees,1998,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
Akamai Technologies Inc,,,,"Cambridge, MA",5001 to 10000 employees,1998,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD)
Akamai,,,,"Cambridge, MA",5001 to 10000 employees,1998,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD)
Akash Management LLC,,,,"Chino Hills, CA",501 to 1000 employees,-1,Franchise,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",Unknown / Non-Applicable
Akili Interactive,,,,"Boston, MA",51 to 200 employees,2011,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Akima Management Services,,,,"Herndon, VA",5001 to 10000 employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
"Akimeka, LLC",,,,"Kihei, HI",201 to 500 employees,1997,Company - Public,IT Services,Information Technology,$10 to $25 million (USD)
"Akira Technologies, Inc",,,,"Washington, DC",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
AKORBI Language Solutions,,,,-1,-1,-1,-1,-1,-1,-1
Akorbi,,,,"Plano, TX",201 to 500 employees,2003,Company - Private,Consulting,Business Services,$25 to $50 million (USD)
Akraya Inc,,,,"Santa Clara, CA",51 to 200 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Akumin,,,,"Plantation, FL",1001 to 5000 employees,2016,Company - Public,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Akuna Capital,,,,"Chicago, IL",201 to 500 employees,2011,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable
Al Dahra Holding LLC,,,,"Abu Dhabi, United Arab Emirates",1001 to 5000 employees,1995,Company - Private,Food Production,Agriculture & Forestry,Unknown / Non-Applicable
Alaka`ina Foundation Family of Companies,,,,"Honolulu, HI",501 to 1000 employees,-1,Government,-1,-1,Unknown / Non-Applicable
Alaka`ina Foundation,,,,"Honolulu, HI",501 to 1000 employees,-1,Government,-1,-1,Unknown / Non-Applicable
Alakaina Family of Companies,,,,-1,-1,-1,-1,-1,-1,-1
Alameda County Water District,,,,"Fremont, CA",201 to 500 employees,1914,Government,Utilities,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD)
Alans Group,,,,"East Rutherford, NJ",51 to 200 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
Alaska USA,,,,"Anchorage, AK",1001 to 5000 employees,1948,Other Organization,Banks & Credit Unions,Finance,$100 to $500 million (USD)
AlaskaUSA Mortgage Company,,,,-1,-1,-1,-1,-1,-1,-1
Albany Charter School Network,,,,-1,-1,-1,-1,-1,-1,-1
Albemarle,,,,"Charlotte, NC",5001 to 10000 employees,1994,Company - Public,Chemical Manufacturing,Manufacturing,$2 to $5 billion (USD)
Albert (CA),,,,"Culver City, CA",51 to 200 employees,2015,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable
Albertsons Companies,,,,"Boise, ID",10000+ employees,1939,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD)
Albin Engineering Services,,,,"Santa Clara, CA",51 to 200 employees,1993,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
Alcatraz Cruises,,,,"San Francisco, CA",51 to 200 employees,-1,Company - Public,Cruise Ships,Travel & Tourism,$10 to $25 million (USD)
ALCGlobalSoftware,,,,"Los Angeles, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Alcor Solutions,,,,"Dublin, CA",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Alcora Corporation,,,,"Doral, FL",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
ALDI,,,,"Batavia, IL",10000+ employees,1976,Company - Private,Grocery Stores & Supermarkets,Retail,Unknown / Non-Applicable
ALEGENT CREIGHTON CLINIC,,,,"Englewood, CO",10000+ employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
ALERE,,,,"Waltham, MA",5001 to 10000 employees,2001,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Alert Logic,,,,"Houston, TX",501 to 1000 employees,2002,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
AlertMedia,,,,"Austin, TX",51 to 200 employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
ALEX - Alternative Experts,,,,"Dumfries, VA",51 to 200 employees,1987,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
ALEX Alternative Experts LLC,,,,"Dumfries, VA",51 to 200 employees,1987,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
"ALEX-Alternative Experts, LLC",,,,"Dumfries, VA",51 to 200 employees,1987,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Alexandria Real Estate Equities,,,,"Pasadena, CA",201 to 500 employees,1994,Company - Public,Real Estate,Real Estate,$500 million to $1 billion (USD)
Alexza Pharmaceuticals,,,,"Mountain View, CA",1 to 50 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD)
Alger,,,,"New York, NY",51 to 200 employees,1964,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Algonquin/Liberty/Empire District,,,,"Oakville, Canada",1001 to 5000 employees,1988,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
Alight Solutions,,,,"Lincolnshire, IL",10000+ employees,2017,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
alight,,,,"Lincolnshire, IL",10000+ employees,2017,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Alignment Healthcare,,,,"Orange, CA",501 to 1000 employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
AlignRx,,,,"Williamsville, NY",1 to 50 employees,2016,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
A-Line Staffing Solutions,,,,"Utica, MI",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Alion Science & Technology,,,,"Mc Lean, VA",1001 to 5000 employees,2001,Company - Private,Research & Development,Business Services,$1 to $2 billion (USD)
Alion,,,,"Mc Lean, VA",1001 to 5000 employees,2001,Company - Private,Research & Development,Business Services,$1 to $2 billion (USD)
AlixPartners,,,,"New York, NY",1001 to 5000 employees,1981,Company - Private,Consulting,Business Services,$1 to $2 billion (USD)
Alkami Technology,,,,"Plano, TX",501 to 1000 employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD)
All Campus,,,,"Chicago, IL",51 to 200 employees,2012,Company - Private,Colleges & Universities,Education,$25 to $50 million (USD)
ALL NATIVE GROUP,,,,"Winnebago, NE",501 to 1000 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
All Points Logistics,,,,"Merritt Island, FL",51 to 200 employees,-1,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$25 to $50 million (USD)
All Web Leads,,,,"Austin, TX",201 to 500 employees,2005,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
Allakos,,,,"Redwood City, CA",51 to 200 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Alleare Consulting,,,,"Dallas, TX",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Allegan General Hospital,,,,"Allegan, MI",201 to 500 employees,1938,Company - Private,-1,-1,$25 to $50 million (USD)
Allegiance Bank,,,,"Houston, TX",501 to 1000 employees,2007,Company - Public,Banks & Credit Unions,Finance,$5 to $10 billion (USD)
Allen Institute,,,,"Seattle, WA",201 to 500 employees,2003,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD)
Allere,,,,"Kalamazoo, MI",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
Alliance Data - Retail,,,,"Columbus, OH",10000+ employees,1996,Company - Public,Advertising & Marketing,Business Services,$5 to $10 billion (USD)
Alliance Data card services,,,,"Columbus, OH",5001 to 10000 employees,1986,Company - Public,Banks & Credit Unions,Finance,$5 to $10 billion (USD)
Alliance Global Tech Inc,,,,"Melville, NY",1 to 50 employees,2013,Company - Private,-1,-1,$25 to $50 million (USD)
Alliance IT,,,,"Pleasanton, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
Alliance Laundry,,,,"Ripon, WI",1001 to 5000 employees,1908,Company - Private,Laundry & Dry Cleaning,Consumer Services,$1 to $2 billion (USD)
Alliance of Community Health Plans,,,,"Washington, DC",1 to 50 employees,-1,Nonprofit Organization,"Hotels, Motels, & Resorts",Travel & Tourism,$5 to $10 million (USD)
Alliance Residential Company,,,,"Phoenix, AZ",1001 to 5000 employees,2000,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Alliance Residential,,,,"Phoenix, AZ",1001 to 5000 employees,2000,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Alliance Resource Group,,,,"Irvine, CA",1 to 50 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
Alliance Source Testing,,,,"Decatur, AL",51 to 200 employees,2000,Unknown,Architectural & Engineering Services,Business Services,$25 to $50 million (USD)
AllianceBernstein,,,,"New York, NY",1001 to 5000 employees,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD)
AllianceRx Walgreens Prime,,,,"Orlando, FL",1001 to 5000 employees,2017,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
